dataset_index,image,depth_range,valid_pixels,mae_m,mae_cm,absrel_pct,delta1_pct,fps,peak_vram_gb,input_resolution,processed_resolution
19,2011_09_26_drive_0002_sync_image_0000000062_image_03.png,0-20m,86372,0.7652325466884566,76.52325466884567,8.122685032459865,95.00185245218358,2.450757541311502,2.415170669555664,1216x352,1344x392
19,2011_09_26_drive_0002_sync_image_0000000062_image_03.png,0-40m,101499,0.9237654821397209,92.37654821397209,7.856759068058857,95.61867604606942,2.450757541311502,2.415170669555664,1216x352,1344x392
19,2011_09_26_drive_0002_sync_image_0000000062_image_03.png,0-80m,106299,1.1201203488210396,112.01203488210396,7.95442985551056,95.33485733638133,2.450757541311502,2.415170669555664,1216x352,1344x392
20,2011_09_26_drive_0002_sync_image_0000000065_image_02.png,0-10m,53787,0.7344401192784338,73.44401192784338,9.74274194670151,93.93533753509212,2.4497285087670497,2.415170669555664,1216x352,1344x392
20,2011_09_26_drive_0002_sync_image_0000000065_image_02.png,0-20m,95798,0.7179539321611196,71.79539321611196,7.802372047105965,95.81828430656172,2.4497285087670497,2.415170669555664,1216x352,1344x392
20,2011_09_26_drive_0002_sync_image_0000000065_image_02.png,0-40m,112703,0.9322266874584726,93.22266874584726,7.7511173543469924,96.040921714595,2.4497285087670497,2.415170669555664,1216x352,1344x392
20,2011_09_26_drive_0002_sync_image_0000000065_image_02.png,0-80m,116964,1.1117822097030343,111.17822097030343,7.892554488744268,95.69354673232789,2.4497285087670497,2.415170669555664,1216x352,1344x392
21,2011_09_26_drive_0002_sync_image_0000000068_image_03.png,0-10m,48096,0.7064769764443833,70.64769764443834,9.051006310014161,91.3714238190286,2.44740945369873,2.415170669555664,1216x352,1344x392
21,2011_09_26_drive_0002_sync_image_0000000068_image_03.png,0-20m,86820,0.7003807622862972,70.03807622862972,7.249126002659896,95.06910850034555,2.44740945369873,2.415170669555664,1216x352,1344x392
21,2011_09_26_drive_0002_sync_image_0000000068_image_03.png,0-40m,102422,0.9289331598032878,92.89331598032878,7.355268398451418,94.72476616351956,2.44740945369873,2.415170669555664,1216x352,1344x392
21,2011_09_26_drive_0002_sync_image_0000000068_image_03.png,0-80m,106166,1.1073411687502022,110.73411687502022,7.529630453467728,94.33717009211989,2.44740945369873,2.415170669555664,1216x352,1344x392
22,2011_09_26_drive_0002_sync_image_0000000071_image_02.png,0-10m,54877,0.5015713401596459,50.15713401596459,6.736675031997676,98.82464420431147,2.4407561364861086,2.415170669555664,1216x352,1344x392
22,2011_09_26_drive_0002_sync_image_0000000071_image_02.png,0-20m,88727,0.5652540612973421,56.525406129734215,5.8912805660312495,99.06229219966865,2.4407561364861086,2.415170669555664,1216x352,1344x392
22,2011_09_26_drive_0002_sync_image_0000000071_image_02.png,0-40m,104981,0.9813757717954039,98.13757717954039,6.793839374263601,97.91009801773654,2.4407561364861086,2.415170669555664,1216x352,1344x392
22,2011_09_26_drive_0002_sync_image_0000000071_image_02.png,0-80m,107910,1.128215768306097,112.8215768306097,6.96490969880938,97.5600037067927,2.4407561364861086,2.415170669555664,1216x352,1344x392
23,2011_09_26_drive_0005_sync_image_0000000005_image_03.png,0-10m,5122,0.4884691208612635,48.84691208612635,7.306502734971715,99.14096056228036,2.425290149488239,2.415170669555664,1216x352,1344x392
23,2011_09_26_drive_0005_sync_image_0000000005_image_03.png,0-20m,24775,0.5855986990288697,58.55986990288697,4.783939793865883,99.17658930373359,2.425290149488239,2.415170669555664,1216x352,1344x392
23,2011_09_26_drive_0005_sync_image_0000000005_image_03.png,0-40m,31897,0.6815187584760739,68.15187584760739,4.559750903925636,98.96228485437501,2.425290149488239,2.415170669555664,1216x352,1344x392
23,2011_09_26_drive_0005_sync_image_0000000005_image_03.png,0-80m,33813,0.9368206712694969,93.68206712694969,4.895436812436063,98.45621506521161,2.425290149488239,2.415170669555664,1216x352,1344x392
24,2011_09_26_drive_0005_sync_image_0000000008_image_02.png,0-10m,4824,0.5245106522716693,52.45106522716693,7.130008082842599,99.12935323383084,2.42860331276491,2.415170669555664,1216x352,1344x392
24,2011_09_26_drive_0005_sync_image_0000000008_image_02.png,0-20m,28135,0.6052871837992216,60.52871837992216,4.884825264003672,99.28558734672116,2.42860331276491,2.415170669555664,1216x352,1344x392
24,2011_09_26_drive_0005_sync_image_0000000008_image_02.png,0-40m,36391,0.7640396677773893,76.40396677773893,4.838546433978763,98.88433953450028,2.42860331276491,2.415170669555664,1216x352,1344x392
24,2011_09_26_drive_0005_sync_image_0000000008_image_02.png,0-80m,38065,0.9819236885901585,98.19236885901586,5.141062841412182,98.16366741100748,2.42860331276491,2.415170669555664,1216x352,1344x392
25,2011_09_26_drive_0005_sync_image_0000000011_image_03.png,0-10m,6111,0.6933442430866075,69.33442430866074,8.740630528583548,99.0672557682867,2.432489891739781,2.415170669555664,1216x352,1344x392
25,2011_09_26_drive_0005_sync_image_0000000011_image_03.png,0-20m,33865,0.7951556045372272,79.51556045372273,6.186872427189736,99.23519858260741,2.432489891739781,2.415170669555664,1216x352,1344x392
25,2011_09_26_drive_0005_sync_image_0000000011_image_03.png,0-40m,43535,1.0339446908449816,103.39446908449817,6.301556672093595,98.80096474101298,2.432489891739781,2.415170669555664,1216x352,1344x392
25,2011_09_26_drive_0005_sync_image_0000000011_image_03.png,0-80m,45031,1.1984538543613747,119.84538543613748,6.4999032818394475,98.58097754879972,2.432489891739781,2.415170669555664,1216x352,1344x392
26,2011_09_26_drive_0005_sync_image_0000000014_image_02.png,0-10m,6088,0.7790381410275433,77.90381410275432,9.498957016246168,98.06176084099869,2.4105690919103804,2.415170669555664,1216x352,1344x392
