dataset_index,depth_range,valid_pixels,mae_m,mae_cm,absrel_pct,delta1_pct,fps,peak_vram_gb,input_resolution,processed_resolution
5,0-6m,307200,0.5759050622081849,57.5905062208185,15.513566878791263,88.26985677083333,0.28995337926510495,3.3480396270751953,640x480,1344x1008
5,0-10m,307200,0.5759050622081849,57.5905062208185,15.513566878791263,88.26985677083333,0.28995337926510495,3.3480396270751953,640x480,1344x1008
6,0-3m,32472,0.5969294142652598,59.692941426525984,26.435035481365876,51.73072185267307,0.2803273865061267,3.3480396270751953,640x480,1344x1008
6,0-6m,292732,0.790405645155531,79.0405645155531,19.300598615916908,83.56653867701516,0.2803273865061267,3.3480396270751953,640x480,1344x1008
6,0-10m,307200,0.8013724057360863,80.13724057360862,19.16054400891165,84.33268229166667,0.2803273865061267,3.3480396270751953,640x480,1344x1008
7,0-3m,215843,0.09812645634685704,9.812645634685705,4.729551439930267,99.50751240484982,0.2819705864055413,3.3480396270751953,640x480,1344x1008
7,0-6m,305648,0.2963927046941917,29.63927046941917,9.656390957476756,96.48091922734649,0.2819705864055413,3.3480396270751953,640x480,1344x1008
7,0-10m,307200,0.3044517826137599,30.44517826137599,9.717238234617916,96.15364583333333,0.2819705864055413,3.3480396270751953,640x480,1344x1008
8,0-3m,226032,0.11726211067076836,11.726211067076836,6.097779243281762,98.89617399306293,0.2727847782381693,3.3480396270751953,640x480,1344x1008
8,0-6m,282173,0.25250047627085564,25.250047627085564,8.84339986351168,95.28906025735985,0.2727847782381693,3.3480396270751953,640x480,1344x1008
8,0-10m,307200,0.3320090704242466,33.20090704242466,9.649141955359056,94.83528645833333,0.2727847782381693,3.3480396270751953,640x480,1344x1008
9,0-3m,112709,0.536237599569756,53.623759956975604,31.708077810831366,32.77466750658776,0.2825515489871274,3.3480396270751953,640x480,1344x1008
9,0-6m,307200,0.5797437424230156,57.974374242301565,22.200474763706563,73.56998697916667,0.2825515489871274,3.3480396270751953,640x480,1344x1008
9,0-10m,307200,0.5797437424230156,57.974374242301565,22.200474763706563,73.56998697916667,0.2825515489871274,3.3480396270751953,640x480,1344x1008
10,0-3m,307200,0.18458422854736758,18.45842285473676,9.359467076804687,97.33951822916667,0.288603203784837,3.3480396270751953,640x480,1344x1008
10,0-6m,307200,0.18458422854736758,18.45842285473676,9.359467076804687,97.33951822916667,0.288603203784837,3.3480396270751953,640x480,1344x1008
10,0-10m,307200,0.18458422854736758,18.45842285473676,9.359467076804687,97.33951822916667,0.288603203784837,3.3480396270751953,640x480,1344x1008
11,0-3m,183744,0.16110181106881827,16.110181106881825,9.400348502709964,98.00156739811912,0.28909019009829084,3.3480396270751953,640x480,1344x1008
11,0-6m,291228,0.3314393557308189,33.14393557308189,11.252769218851556,96.4673726427404,0.28909019009829084,3.3480396270751953,640x480,1344x1008
11,0-10m,307200,0.40820745684284093,40.82074568428409,11.877911821636584,94.9580078125,0.28909019009829084,3.3480396270751953,640x480,1344x1008
12,0-3m,105695,0.3237583344715468,32.375833447154676,15.916904863853922,84.59624390936185,0.28990848284950693,3.3480396270751953,640x480,1344x1008
12,0-6m,307200,0.375708347443336,37.570834744333595,12.16882288994438,88.79329427083333,0.28990848284950693,3.3480396270751953,640x480,1344x1008
12,0-10m,307200,0.375708347443336,37.570834744333595,12.16882288994438,88.79329427083333,0.28990848284950693,3.3480396270751953,640x480,1344x1008
13,0-3m,267989,0.3117103217923329,31.171032179233286,12.545848065548032,95.80020075450858,0.2883168477601511,3.3480396270751953,640x480,1344x1008
13,0-6m,307200,0.3316426096173624,33.16426096173624,12.879961470055697,96.33626302083333,0.2883168477601511,3.3480396270751953,640x480,1344x1008
13,0-10m,307200,0.3316426096173624,33.16426096173624,12.879961470055697,96.33626302083333,0.2883168477601511,3.3480396270751953,640x480,1344x1008
14,0-3m,176274,0.2633939707935325,26.33939707935325,12.211912002486503,93.0908698957305,0.2914300958573579,3.3480396270751953,640x480,1344x1008
14,0-6m,280597,0.4496047665398307,44.96047665398307,14.633479208009426,89.82882924621433,0.2914300958573579,3.3480396270751953,640x480,1344x1008
14,0-10m,307200,0.7331244518887252,73.31244518887252,16.900839961193974,86.705078125,0.2914300958573579,3.3480396270751953,640x480,1344x1008
15,0-3m,204541,0.2336502931843976,23.36502931843976,11.888679774317907,93.77337550906664,0.29283384625225006,3.3480396270751953,640x480,1344x1008
15,0-6m,287148,0.47669272526486517,47.669272526486516,15.371604589407726,82.08763425132685,0.29283384625225006,3.3480396270751953,640x480,1344x1008
15,0-10m,307200,0.6540118990283614,65.40118990283614,17.20914858503059,77.51106770833334,0.29283384625225006,3.3480396270751953,640x480,1344x1008
16,0-3m,158166,0.353501486095108,35.3501486095108,18.033258518878604,85.87749579555657,0.29049944232764346,3.3480396270751953,640x480,1344x1008
16,0-6m,291356,0.5498792079176544,54.98792079176545,18.785120906461685,89.89140433009788,0.29049944232764346,3.3480396270751953,640x480,1344x1008
16,0-10m,307200,0.5963514511287212,59.635145112872124,18.7147448920509,89.52701822916667,0.29049944232764346,3.3480396270751953,640x480,1344x1008
17,0-3m,157836,0.4174810811367819,41.74810811367819,21.43372375831655,57.74284700575281,0.29321630015147265,3.3480396270751953,640x480,1344x1008
17,0-6m,288095,0.4896840414163167,48.96840414163167,19.30316059219585,76.04123639771603,0.29321630015147265,3.3480396270751953,640x480,1344x1008
17,0-10m,307200,0.4919666433004507,49.19666433004507,18.488570474373837,77.3916015625,0.29321630015147265,3.3480396270751953,640x480,1344x1008
18,0-3m,114379,0.3108003644039665,31.080036440396654,13.27133082086169,91.6400737897691,0.2922186299120828,3.3480396270751953,640x480,1344x1008
18,0-6m,307200,0.5159869948188619,51.59869948188619,15.626189536846244,96.02115885416667,0.2922186299120828,3.3480396270751953,640x480,1344x1008
18,0-10m,307200,0.5159869948188619,51.59869948188619,15.626189536846244,96.02115885416667,0.2922186299120828,3.3480396270751953,640x480,1344x1008
19,0-3m,121718,0.2464036255564154,24.64036255564154,10.875581475910556,97.4260175158974,0.29264932212179184,3.3480396270751953,640x480,1344x1008
19,0-6m,307200,0.38919363907693577,38.91936390769358,11.96211370410739,98.57096354166667,0.29264932212179184,3.3480396270751953,640x480,1344x1008
19,0-10m,307200,0.38919363907693577,38.91936390769358,11.96211370410739,98.57096354166667,0.29264932212179184,3.3480396270751953,640x480,1344x1008
20,0-3m,262696,0.3162805825548115,31.62805825548115,13.155357674029103,96.6215701799799,0.29061690995127715,3.3480396270751953,640x480,1344x1008
20,0-6m,307200,0.3898982845871554,38.98982845871554,14.303200950923166,95.25651041666666,0.29061690995127715,3.3480396270751953,640x480,1344x1008
20,0-10m,307200,0.3898982845871554,38.98982845871554,14.303200950923166,95.25651041666666,0.29061690995127715,3.3480396270751953,640x480,1344x1008
21,0-3m,58195,0.4222846910135987,42.22846910135987,15.854952949093834,97.88297963742589,0.2829114496497196,3.3480396270751953,640x480,1344x1008
21,0-6m,264773,0.6037544740081414,60.37544740081414,16.465715777373415,91.60563954783909,0.2829114496497196,3.3480396270751953,640x480,1344x1008
21,0-10m,307200,0.651166935171932,65.1166935171932,16.18375503952718,88.40071614583334,0.2829114496497196,3.3480396270751953,640x480,1344x1008
22,0-3m,124031,0.27852493098628867,27.852493098628866,13.346838595140259,82.20686763792922,0.2888466960903296,3.3480396270751953,640x480,1344x1008
22,0-6m,307200,0.44585179699701255,44.58517969970126,15.066974737466685,84.923828125,0.2888466960903296,3.3480396270751953,640x480,1344x1008
22,0-10m,307200,0.44585179699701255,44.58517969970126,15.066974737466685,84.923828125,0.2888466960903296,3.3480396270751953,640x480,1344x1008
23,0-3m,115791,0.3015117482146333,30.15117482146333,11.67633007752572,99.6813223825686,0.2925914127991902,3.3480396270751953,640x480,1344x1008
23,0-6m,307200,0.45555033365963027,45.55503336596303,13.914101306415056,99.68587239583333,0.2925914127991902,3.3480396270751953,640x480,1344x1008
23,0-10m,307200,0.45555033365963027,45.55503336596303,13.914101306415056,99.68587239583333,0.2925914127991902,3.3480396270751953,640x480,1344x1008
24,0-3m,307200,0.1900678602051145,19.006786020511452,9.581481489855586,99.94498697916666,0.29116359541999226,3.3480396270751953,640x480,1344x1008
